Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-11-01 00:00:00
Sudoeste,Vitória da Conquista,290290,Barra do Choça,0.4901,0.4949,0.8018,0.8089,0.862,0.8591
Centro Norte,Irecê,290300,Barra do Mendes,0.9491,0.7125,0.9472,1.0,1.0,1.0
Sul,Jequié,290310,Barra do Rocha,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,290320,Barreiras,0.3154,0.3937,0.4919,0.6737,0.7323,0.6794
Centro Norte,Irecê,290323,Barro Alto,0.2265,0.4487,0.4572,0.4534,0.4662,0.4621
Sul,Itabuna,290330,Barro Preto,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,290327,Barrocas,0.8833,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Porto Seguro,290340,Belmonte,0.8764,0.726,0.8664,0.862,0.8917,0.8873
Sudoeste,Vitória da Conquista,290350,Belo Campo,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,290360,Biritinga,0.4376,0.4367,0.6224,0.8287,1.0,0.0
Sul,Jequié,290370,Boa Nova,1.0,1.0,1.0,0.7357,1.0,1.0
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,1.0,1.0,0.8839,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,290390,Bom Jesus da Lapa,0.666,0.6451,0.8368,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290395,Bom Jesus da Serra,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Seabra,290400,Boninal,0.4762,0.6788,0.9097,0.9045,0.9344,0.7204
Centro Leste,Itaberaba,290405,Bonito,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,290410,Boquira,0.6158,0.9028,0.7684,0.6143,0.6413,0.6416
Sudoeste,Brumado,290420,Botuporã,0.9334,0.9391,0.9446,0.9497,1.0,1.0
Sul,Jequié,290430,Brejões,0.452,0.2268,0.2275,0.2281,0.2401,0.2413
Oeste,Barreiras,290440,Brejolândia,1.0,0.9675,0.9612,0.9554,1.0,1.0
Oeste,Ibotirama,290450,Brotas de Macaúbas,0.9276,0.935,1.0,1.0,1.0,1.0
Sudoeste,Brumado,290460,Brumado,0.7454,0.7407,0.8874,1.0,1.0,1.0
Sul,Itabuna,290470,Buerarema,0.7151,0.7157,0.8719,0.8958,1.0,1.0
Oeste,Ibotirama,290475,Buritirama,0.4832,0.3202,0.4776,0.1584,0.3275,0.1629
