Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Norte,Irecê,291535,Itaguaçu da Bahia,9.0,7.0,4,10,10.0,9,13.0,10.0,16.0,8.0,12.0
Centro Norte,Irecê,291835,João Dourado,23.0,20.0,19,10,19.0,19,19.0,29.0,37.0,33.0,32.0
Centro Norte,Irecê,291850,Jussara,8.0,12.0,13,16,18.0,22,18.0,27.0,17.0,22.0,16.0
Centro Norte,Irecê,291915,Lapão,42.0,29.0,27,33,27.0,43,29.0,43.0,27.0,44.0,37.0
Centro Norte,Irecê,292205,Mulungu do Morro,10.0,8.0,12,10,15.0,7,15.0,23.0,12.0,18.0,18.0
Centro Norte,Irecê,292560,Presidente Dutra,12.0,15.0,19,18,17.0,8,19.0,24.0,24.0,18.0,13.0
Centro Norte,Irecê,292925,São Gabriel,23.0,16.0,15,16,15.0,16,26.0,21.0,28.0,22.0,22.0
Centro Norte,Irecê,293240,Uibaí,14.0,14.0,19,11,20.0,10,20.0,17.0,15.0,14.0,16.0
Centro Norte,Irecê,293360,Xique-Xique,38.0,42.0,28,42,38.0,36,42.0,60.0,61.0,54.0,47.0
Centro Norte,Jacobina,290510,Caém,12.0,8.0,6,8,10.0,5,14.0,13.0,14.0,11.0,12.0
Centro Norte,Jacobina,290550,Caldeirão Grande,14.0,8.0,13,9,11.0,15,17.0,15.0,7.0,21.0,16.0
Centro Norte,Jacobina,290687,Capim Grosso,27.0,25.0,29,23,27.0,32,42.0,38.0,32.0,19.0,26.0
Centro Norte,Jacobina,291750,Jacobina,85.0,93.0,90,120,88.0,101,100.0,114.0,107.0,118.0,88.0
Centro Norte,Jacobina,292010,Mairi,17.0,20.0,30,27,25.0,21,31.0,23.0,32.0,21.0,22.0
Centro Norte,Jacobina,292120,Miguel Calmon,31.0,23.0,32,39,31.0,31,26.0,30.0,29.0,33.0,29.0
Centro Norte,Jacobina,292140,Mirangaba,12.0,11.0,12,17,14.0,14,10.0,19.0,14.0,24.0,13.0
