Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2012,2013,2014,2015,2016,2017,2018,2019,2020**,MÉDIA
Centro Norte,Irecê,291240,Ibipeba,-,0,75.0,100.0,100.0,100,50,100.0,0.0,65.625
Sudoeste,Brumado,291250,Ibipitanga,-,100,100.0,100.0,0.0,100,0,66.7,0.0,58.3375
Centro Leste,Itaberaba,291260,Ibiquera,-,0,0.0,0.0,100.0,100,0,0.0,100.0,37.5
Sul,Itabuna,291270,Ibirapitanga,100,0,100.0,100.0,0.0,0,60,50.0,0.0,45.55555555555556
Extremo Sul,Teixeira de Freitas,291280,Ibirapuã,-,0,0.0,0.0,0.0,100,0,0.0,0.0,12.5
Sul,Jequié,291290,Ibirataia,90,0,0.0,0.0,100.0,100,75,0.0,0.0,40.55555555555556
Centro Leste,Seabra,291300,Ibitiara,-,0,0.0,50.0,100.0,100,0,0.0,0.0,31.25
Centro Norte,Irecê,291310,Ibititá,-,0,25.0,100.0,0.0,75,0,100.0,66.7,45.8375
Oeste,Ibotirama,291320,Ibotirama,100,100,75.0,66.7,100.0,75,100,50.0,0.0,74.07777777777778
Centro Leste,Feira de Santana,291330,Ichu,100,100,100.0,100.0,0.0,0,0,0.0,0.0,44.44444444444444
Sudoeste,Guanambi,291340,Igaporã,-,100,0.0,0.0,50.0,50,33.3,0.0,100.0,41.6625
Sul,Valença,291345,Igrapiúna,-,50,100.0,0.0,60.0,60,100,75.0,0.0,55.625
Sudoeste,Itapetinga,291350,Iguaí,100,100,100.0,75.0,0.0,0,33.3,100.0,75.0,64.8111111111111
Sul,Ilhéus,291360,Ilhéus,95.1,79.4,90.2,91.7,87.0,85.4,79.2,86.5,77.8,85.8111111111111
Nordeste,Alagoinhas,291370,Inhambupe,100,50,100.0,100.0,0.0,50,100,33.3,100.0,70.36666666666666
Centro Leste,Feira de Santana,291380,Ipecaetá,-,0,25.0,0.0,100.0,100,0,100.0,0.0,40.625
Sul,Jequié,291390,Ipiaú,50,64.3,75.0,33.3,100.0,62.5,20,29.4,16.7,52.2375
Centro Leste,Feira de Santana,291400,Ipirá,100,81.5,93.3,70.0,66.7,66.7,63.6,50.0,75.0,74.08888888888889
Oeste,Ibotirama,291410,Ipupiara,-,0,100.0,0.0,100.0,100,0,100.0,0.0,50.0
Sul,Jequié,291420,Irajuba,-,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Sul,Jequié,291430,Iramaia,-,100,0.0,0.0,0.0,0,50,0.0,100.0,31.25
Centro Leste,Seabra,291440,Iraquara,50,33.3,50.0,60.0,100.0,70.6,50,33.3,0.0,49.68888888888889
Centro Leste,Feira de Santana,291450,Irará,100,100,100.0,88.9,100.0,80,66.7,33.3,0.0,74.32222222222222
Centro Norte,Irecê,291460,Irecê,17.6,50,42.0,84.4,86.4,93,56.5,95.5,81.8,67.46666666666665
Extremo Sul,Porto Seguro,291465,Itabela,50,71.4,85.7,62.5,0.0,100,100,75.0,100.0,71.62222222222222
Centro Leste,Itaberaba,291470,Itaberaba,100,90.9,76.9,100.0,25.0,62.5,72.7,71.4,71.4,74.53333333333333
Sul,Itabuna,291480,Itabuna,72.7,78.3,100.0,100.0,83.3,81.4,77.3,96.4,62.5,83.54444444444444
Sul,Ilhéus,291490,Itacaré,-,100,80.0,86.4,60.0,57.1,85.7,50.0,0.0,64.9
Centro Leste,Itaberaba,291500,Itaeté,-,100,100.0,100.0,0.0,50,0,0.0,0.0,43.75
Sul,Jequié,291510,Itagi,100,50,100.0,0.0,100.0,66.7,0,0.0,0.0,46.3
Sul,Jequié,291520,Itagibá,-,0,33.3,100.0,100.0,100,50,0.0,0.0,47.9125
Extremo Sul,Porto Seguro,291530,Itagimirim,-,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Centro Norte,Irecê,291535,Itaguaçu da Bahia,-,0,0.0,100.0,100.0,100,0,100.0,0.0,50.0
Sul,Itabuna,291540,Itaju do Colônia,100,100,0.0,0.0,0.0,0,0,100.0,0.0,33.333333333333336
Sul,Itabuna,291550,Itajuípe,50,60,75.0,100.0,50.0,66.7,0,50.0,0.0,50.18888888888889
Extremo Sul,Teixeira de Freitas,291560,Itamaraju,93.3,78.8,68.0,87.0,100.0,73.3,88.9,85.7,66.7,82.41111111111113
Sul,Jequié,291570,Itamari,100,0,0.0,0.0,0.0,100,100,100.0,0.0,44.44444444444444
Sudoeste,Itapetinga,291580,Itambé,-,75,100.0,100.0,100.0,100,100,100.0,100.0,96.875
Nordeste,Alagoinhas,291590,Itanagra,33.3,0,0.0,0.0,0.0,0,0,0.0,0.0,3.6999999999999997
Extremo Sul,Teixeira de Freitas,291600,Itanhém,50,100,50.0,100.0,0.0,0,0,0.0,0.0,33.333333333333336
Leste,Salvador,291610,Itaparica,75,85.7,75.0,60.0,0.0,100,50,62.5,0.0,56.46666666666667
Sul,Itabuna,291620,Itapé,100,100,100.0,0.0,100.0,50,100,100.0,0.0,72.22222222222223
Extremo Sul,Porto Seguro,291630,Itapebi,-,0,100.0,0.0,0.0,0,50,50.0,0.0,25.0
Sudoeste,Itapetinga,291640,Itapetinga,60,72.7,77.8,85.7,100.0,100,100,100.0,57.1,83.7
Nordeste,Alagoinhas,291650,Itapicuru,-,0,66.7,100.0,0.0,0,33.3,0.0,0.0,25.0
Sul,Itabuna,291660,Itapitanga,-,100,100.0,0.0,0.0,0,50,0.0,0.0,31.25
Sul,Jequié,291670,Itaquara,-,0,100.0,100.0,0.0,0,0,0.0,0.0,25.0
Sudoeste,Itapetinga,291680,Itarantim,100,100,0.0,100.0,100.0,100,100,0.0,100.0,77.77777777777777
